Family	Binomial	A
Papaveraceae	Bocconia_arborea	0.013273229
Papaveraceae	Bocconia_frutescens	0.013069811
Papaveraceae	Bocconia_integrifolia	0.013684778
Papaveraceae	Bocconia_vulcanica	0.018662631
Fabaceae	Bocoa_alterna	0.003117245
Fabaceae	Bocoa_prouacensis	0.018385386
Fabaceae	Bocoa_viridiflora	0.013684778
Malvaceae	Bombacopsis_quinata	0.053502108
Malvaceae	Bombax_brevicuspe	0.068349275
Sapindaceae	Boniodendron_minus	0.001520531
Boraginaceae	Bourreria_purpusii	0.000706858
Fabaceae	Brachystegia_sp	0.014893113
Araliaceae	Brassaiopsis_aculeata	0.006361725
Araliaceae	Brassaiopsis_alpina	0.002642079
Araliaceae	Brassaiopsis_hainla	0.013273229
Araliaceae	Brassaiopsis_mitis	0.003318307
Acanthaceae	Bravaisia_tubiflora	0.011309734
Rubiaceae	Breonia_chinensis	0.014313882
Sapotaceae	Breviea_leptosperma	0.004185387
Moraceae	Brosimum_acutifolium	0.020106193
Moraceae	Brosimum_alicastrum	0.00638136
Moraceae	Brosimum_costaricanum	0.011309734
Moraceae	Brosimum_gaudichaudii	0.009503318
Moraceae	Brosimum_glaziovii	0.004417865
Moraceae	Brosimum_guianense	0.00867865
Moraceae	Brosimum_lactescens	0.010935884
Moraceae	Brosimum_parinarioides	0.018869191
Moraceae	Brosimum_potabile	0.018869191
Moraceae	Brosimum_rubescens	0.019487692
Moraceae	Brosimum_sp	0.0254469
Moraceae	Brosimum_utile	0.028809975
Moraceae	Broussonetia_greveana	0.026880252
Moraceae	Broussonetia_kaempferi	0.01960668
Moraceae	Broussonetia_kazinoki	0.006361725
Moraceae	Broussonetia_kurzii	0.011309734
Moraceae	Broussonetia_luzonica	0.026880252
Moraceae	Broussonetia_papyrifera	0.022715286
Styracaceae	Bruinsmia_styracoides	0.01960668
Zygophyllaceae	Bulnesia_arborea	0.002827433
Buxaceae	Buxus_macowani	0.000706858
Buxaceae	Buxus_sempervirens	0.000706858
Meliaceae	Cabralea_canjerana	0.031415927
Fabaceae	Caesalpinia_echinata	0.008992024
Fabaceae	Caesalpinia_paraguariensis	0.003848451
Arecaceae	Calamus_brandisii	0.032047387
Arecaceae	Calamus_dransfieldii	0.066051986
Arecaceae	Calamus_gamblei	0.067886676
Arecaceae	Calamus_hookerianus	0.047143525
